,Date,Close_AAPL,Close_AMZN,Close_META,Close_MSFT,Close_ZM,High_AAPL,High_AMZN,High_META,High_MSFT,High_ZM,Low_AAPL,Low_AMZN,Low_META,Low_MSFT,Low_ZM,Open_AAPL,Open_AMZN,Open_META,Open_MSFT,Open_ZM,Volume_AAPL,Volume_AMZN,Volume_META,Volume_MSFT,Volume_ZM
142,2022-07-28,155.23903,122.28,160.1084,271.15005,106.22,155.52513,122.84,160.89539,272.55283,106.902,152.33847,118.08,154.26074,262.77255,100.81,154.87398,121.57,160.4471,264.6168,104.46,81378700.0,82245500.0,73214300.0,33459300.0,2380000.0
143,2022-07-29,160.32979,134.95,158.49457,275.39767,103.86,161.43477,137.65,159.53061,276.6337,105.485,157.36017,132.41,154.57951,271.3659,101.01,159.07684,134.9,157.08994,272.41556,105.485,101786900.0,148892900.0,42065400.0,32152800.0,3975900.0
144,2022-08-01,159.34323,135.39,159.32141,272.71967,105.39,161.39532,138.83,164.5614,275.92743,107.92,158.73155,133.51,154.6393,270.59094,101.85,158.84995,134.96,156.65161,272.53326,103.38,67829400.0,76846900.0,40596700.0,21539600.0,2386200.0
145,2022-08-02,157.86334,134.16,159.58041,269.59033,108.16,160.23116,137.44,161.62262,272.60193,109.98,157.48845,134.09,157.4087,267.19675,102.9,157.95215,134.72,157.70757,270.74786,103.04,59907000.0,61922400.0,27374500.0,22754200.0,2519900.0
146,2022-08-03,163.90123,139.52,168.15764,277.09473,112.97,164.35506,140.49,168.8948,278.10513,114.0,158.5934,136.05,160.95515,271.34622,109.22,158.68219,136.21,162.07089,271.4934,109.31,82507500.0,71827800.0,31721900.0,23518900.0,2653500.0
147,2022-08-04,163.58553,142.57,169.92093,278.2523,112.86,164.94702,143.56,171.4949,278.3994,115.0,162.22403,139.55,166.16527,274.83853,110.14,163.78284,140.58,167.65956,276.4375,114.07,55474100.0,70585000.0,23938200.0,18098700.0,2149800.0
148,2022-08-05,163.35829,140.8,166.47408,277.5264,113.85,163.85226,142.86,170.95695,278.25232,114.32,161.03659,139.6,165.16907,273.3769,108.74,161.24406,140.1,166.35454,273.83795,110.0,56697000.0,50686900.0,25832700.0,16774600.0,2639900.0
149,2022-08-08,162.88406,139.41,169.60214,274.98566,114.74,165.78865,144.23,176.8345,280.4791,119.82,162.22214,138.29,166.49402,274.0047,113.82,164.366,142.05,167.3607,278.64465,114.77,60276900.0,52229000.0,27299100.0,18739200.0,2832500.0
150,2022-08-09,162.93349,137.83,167.88867,276.92795,105.29,163.82266,138.95,168.88487,277.6931,112.804,161.2836,136.21,165.96602,272.32718,104.91,162.04433,138.05,168.30707,274.3186,111.78,63135500.0,40434700.0,18655100.0,23405200.0,5822800.0
151,2022-08-10,167.20145,142.69,177.66133,283.6575,112.01,167.30023,144.6,179.79318,284.29514,112.42,164.88962,141.01,173.28804,281.47974,108.8,165.66022,142.9,175.32028,282.68634,111.35,70170500.0,54773800.0,30262100.0,24687800.0,3756600.0
152,2022-08-11,166.4605,140.64,176.81458,281.5582,108.06,168.93039,144.49,182.40323,285.66846,114.99,166.16411,139.76,175.69882,281.05792,107.24,168.01158,143.86,179.02612,285.31534,114.0,57149200.0,44867300.0,24079100.0,20065900.0,4067800.0
153,2022-08-12,170.027,143.55,179.81313,286.35513,109.52,170.09615,143.57,180.76949,286.35513,110.09,167.3595,140.12,178.22919,281.4797,107.28,167.77446,142.05,180.12195,282.99042,109.41,68039400.0,47643500.0,21274000.0,22619700.0,2488900.0
154,2022-08-15,171.10387,143.18,180.20164,287.88544,113.23,171.30145,143.76,180.74956,288.5819,113.79,169.28604,141.49,177.52188,284.58936,108.35,169.45398,142.8,178.27899,285.46243,109.41,54091700.0,39014600.0,15878700.0,18085700.0,2737400.0
155,2022-08-16,170.9458,144.78,178.78705,287.13992,109.19,171.61761,146.57,180.30127,288.44464,109.93,169.5923,142.0,176.36629,284.89352,103.32,170.6988,143.91,178.75716,286.43362,107.815,56377100.0,59102900.0,21156700.0,18102900.0,7520100.0
156,2022-08-17,172.4475,142.1,174.18463,286.38297,102.38,174.02821,143.38,177.46211,288.37857,107.35,170.49135,140.78,173.50722,284.5643,102.02,170.68893,142.69,176.08736,284.8297,106.22,79542000.0,48149800.0,20118100.0,18253400.0,4257200.0
157,2022-08-18,172.05228,142.3,173.99533,285.2524,103.18,172.79324,142.77,175.09114,286.96292,104.57,171.03468,140.38,171.20598,284.18085,100.64,171.6571,141.32,173.67654,285.27206,101.76,62290100.0,37458700.0,18844500.0,17186200.0,3091700.0
158,2022-08-19,169.45398,138.23,167.32085,281.30054,99.5,171.64725,141.11,171.66426,284.348,102.15,169.2465,137.91,166.4143,280.72055,98.8,170.94579,140.47,169.5523,284.00394,100.9,70346300.0,47792800.0,26240800.0,20570000.0,3747900.0
159,2022-08-22,165.55156,133.22,162.42953,273.04294,97.44,167.81396,136.32,164.86024,277.6731,100.14,165.12672,132.85,161.64253,272.5219,96.48,167.64601,135.72,164.86024,277.29953,98.2,69026800.0,50461500.0,19499700.0,25061100.0,8274100.0
